epoch,train_loss_det,epoch_duration,val_loss_det,val_mAP50,val_mAP,lr_bb,lr_nh
0,81.54394644255922,60.24767851829529,60.00588216279682,0.019121550023555756,0.019121550023555756,1.0434064616132949e-05,1.0434064616132949e-05
1,47.02433694343208,59.60544514656067,37.26755187385961,0.1306954324245453,0.1306954324245453,2.801137565267452e-05,2.801137565267452e-05
2,31.8004268837573,59.23029947280884,30.293206415678327,0.18136809766292572,0.18136809766292572,5.20197016518341e-05,5.20197016518341e-05
3,25.604711007922422,59.29855298995972,27.12630417472438,0.20371794700622559,0.20371794700622559,7.602274591345429e-05,7.602274591345429e-05
4,22.399663786155678,58.9299533367157,25.535369898143568,0.24968044459819794,0.24968044459819794,9.358562769740331e-05,9.358562769740331e-05
5,20.273285982377104,59.448516607284546,24.91300648137143,0.24714136123657227,0.24714136123657227,9.999999979212171e-05,9.999999979212171e-05
6,18.571449211024937,59.377477169036865,24.280353420659115,0.28029584884643555,0.28029584884643555,9.99151429413104e-05,9.99151429413104e-05
7,17.270117290341368,58.95084524154663,23.498075836583187,0.30358874797821045,0.30358874797821045,9.96613897237883e-05,9.96613897237883e-05
8,16.31052101816877,59.04181981086731,23.44456198340968,0.2628648579120636,0.2628648579120636,9.923959876011988e-05,9.923959876011988e-05
9,15.54616010600123,59.26500606536865,23.419522687008506,0.26028549671173096,0.26028549671173096,9.86511972574114e-05,9.86511972574114e-05
10,14.910876786073548,59.330371141433716,23.79050184551038,0.2886234223842621,0.2886234223842621,9.78981761800939e-05,9.78981761800939e-05
11,14.375933054472586,59.88789176940918,23.132572048588802,0.2719060480594635,0.2719060480594635,9.698308351312983e-05,9.698308351312983e-05
12,13.968846254587922,59.226895332336426,22.995591464795563,0.308952659368515,0.308952659368515,9.590901564043844e-05,9.590901564043844e-05
13,13.625487758074435,59.293370485305786,23.17001593740363,0.3027481138706207,0.3027481138706207,9.467960686771277e-05,9.467960686771277e-05
14,13.241385731951196,59.436245918273926,23.221490307858115,0.2889592945575714,0.2889592945575714,9.329901712507953e-05,9.329901712507953e-05
15,12.9575196373799,59.17508268356323,23.097018944589717,0.28980153799057007,0.28980153799057007,9.17719178912124e-05,9.17719178912124e-05
16,12.699486803485309,59.631866455078125,22.777985723395098,0.2790132462978363,0.2790132462978363,9.010347638652695e-05,9.010347638652695e-05
17,12.447800160949132,59.66673493385315,22.6292748200266,0.2930416464805603,0.2930416464805603,8.829933808894233e-05,8.829933808894233e-05
18,12.219217782483954,59.34057402610779,22.93252171968159,0.2967034876346588,0.2967034876346588,8.636560763137103e-05,8.636560763137103e-05
19,12.04139412308935,59.38666868209839,22.43556123030813,0.290188729763031,0.290188729763031,8.430882814557354e-05,8.430882814557354e-05
20,11.853577400823372,59.24253225326538,22.641765644675807,0.28336820006370544,0.28336820006370544,8.213595912227161e-05,8.213595912227161e-05
21,11.668374226011078,59.62271046638489,22.705423204522383,0.293620228767395,0.293620228767395,7.985435286243461e-05,7.985435286243461e-05
22,11.509089422823868,59.73487329483032,22.543981978767796,0.3118419945240021,0.3118419945240021,7.747172959942041e-05,7.747172959942041e-05
23,11.355856998587104,59.329007387161255,22.585521447031123,0.28378167748451233,0.28378167748451233,7.499615137614942e-05,7.499615137614942e-05
24,11.203041747819666,59.374178409576416,22.877319285744115,0.27436375617980957,0.27436375617980957,7.243599476570338e-05,7.243599476570338e-05
25,11.067869155758228,59.78687071800232,22.39417284413388,0.3007262945175171,0.3007262945175171,6.97999225276536e-05,6.97999225276536e-05
26,10.932185952566261,59.83794021606445,22.56440315748516,0.29554635286331177,0.29554635286331177,6.709685429602461e-05,6.709685429602461e-05
27,10.808084858622298,59.14868211746216,22.436487850389984,0.3023594319820404,0.3023594319820404,6.433593639807621e-05,6.433593639807621e-05
28,10.681310397330497,59.77878189086914,22.509993327291387,0.28204289078712463,0.28204289078712463,6.152651090602707e-05,6.152651090602707e-05
29,10.57091049340825,59.429168701171875,22.53185402719598,0.28728190064430237,0.28728190064430237,5.867808402643962e-05,5.867808402643962e-05
30,10.452390276152512,59.424625635147095,22.551778441981266,0.2814241647720337,0.2814241647720337,5.580029393422612e-05,5.580029393422612e-05
31,10.331414944699565,59.62897777557373,22.610663414001465,0.2927248179912567,0.2927248179912567,5.290287816011565e-05,5.290287816011565e-05
32,10.234698880802501,59.519869565963745,22.373009154671117,0.29520508646965027,0.29520508646965027,4.999564064193245e-05,4.999564064193245e-05
33,10.120934807021042,59.91157412528992,22.431702613830566,0.2866102457046509,0.2866102457046509,4.708841855117373e-05,4.708841855117373e-05
34,10.032436366365248,59.678226470947266,22.346257259971217,0.29400014877319336,0.29400014877319336,4.419104900713516e-05,4.419104900713516e-05
35,9.941131952040621,58.26048731803894,22.292641288355778,0.29271864891052246,0.29271864891052246,4.1313335791213014e-05,4.1313335791213014e-05
36,9.852329037406228,58.1519558429718,22.40966658843191,0.2820422649383545,0.2820422649383545,3.846501617401141e-05,3.846501617401141e-05
37,9.7581148147583,58.39091467857361,22.299985258202803,0.2798626124858856,0.2798626124858856,3.56557279675006e-05,3.56557279675006e-05
38,9.6718340973869,58.64634466171265,22.527109547665244,0.2776636779308319,0.2776636779308319,3.289497691371221e-05,3.289497691371221e-05
39,9.59404076154703,58.38740611076355,22.56114515505339,0.2822476923465729,0.2822476923465729,3.0192104520317096e-05,3.0192104520317096e-05
40,9.514579334976531,58.37711453437805,22.399835686934622,0.2780086398124695,0.2780086398124695,2.755625645192047e-05,2.755625645192047e-05
41,9.442921820852824,58.15925908088684,22.470632954647666,0.27884340286254883,0.27884340286254883,2.4996351584027695e-05,2.4996351584027695e-05
42,9.37548433725363,58.3838677406311,22.59738046244571,0.2813276946544647,0.2813276946544647,2.2521051824393003e-05,2.2521051824393003e-05
43,9.317383213103005,58.473464012145996,22.433675991861445,0.2775091230869293,0.2775091230869293,2.0138732803865287e-05,2.0138732803865287e-05
44,9.248975513123419,58.56550359725952,22.435725964997943,0.2840031385421753,0.2840031385421753,1.7857455535904732e-05,1.7857455535904732e-05
45,9.197930047504581,58.81329369544983,22.554828317541826,0.2799855172634125,0.2799855172634125,1.5684939140664803e-05,1.5684939140664803e-05
46,9.143356534754595,58.34803867340088,22.490856547104684,0.2786213457584381,0.2786213457584381,1.362853472593317e-05,1.362853472593317e-05
47,9.100378008098064,58.34800934791565,22.689424790834124,0.2808629274368286,0.2808629274368286,1.1695200513309785e-05,1.1695200513309785e-05
48,9.058642517436635,58.5355007648468,22.646769674200762,0.28055015206336975,0.28055015206336975,9.891478293787679e-06,9.891478293787679e-06
49,9.021338648930612,58.385538816452026,22.680351709064684,0.2822205424308777,0.2822205424308777,8.223471292402879e-06,8.223471292402879e-06
50,8.987528301705387,58.20264673233032,22.646000485671195,0.2711510956287384,0.2711510956287384,6.696823516852934e-06,6.696823516852934e-06
51,8.959174781010068,58.8623526096344,22.709609132064017,0.27480408549308777,0.27480408549308777,5.3167006599613225e-06,5.3167006599613225e-06
52,8.92923037983407,58.42707300186157,22.661894070474727,0.27428993582725525,0.27428993582725525,4.0877726206081886e-06,4.0877726206081886e-06
53,8.912222146240522,58.20157194137573,22.73722334911949,0.27127325534820557,0.27127325534820557,3.0141977022707035e-06,3.0141977022707035e-06
54,8.896665162053601,58.26677370071411,22.704951185929147,0.2704240083694458,0.2704240083694458,2.0996085426403836e-06,2.0996085426403836e-06
55,8.882227118859845,58.21580410003662,22.674000991018193,0.27155831456184387,0.27155831456184387,1.3470998219270543e-06,1.3470998219270543e-06
56,8.871002674102783,58.41202473640442,22.731078449048493,0.26907771825790405,0.26907771825790405,7.592177914405926e-07,7.592177914405926e-07
57,8.865857808193816,59.13790512084961,22.71578141262657,0.26804736256599426,0.26804736256599426,3.379516578824942e-07,3.379516578824942e-07
58,8.860487146437356,58.68751573562622,22.761026683606598,0.2695903778076172,0.2695903778076172,8.472685250006014e-08,8.472685250006014e-08
59,8.856583283612721,58.234081506729126,22.736370412926924,0.2699904143810272,0.2699904143810272,4.002078782935083e-10,4.002078782935083e-10
